Model,Target,MAE,RMSE,R2
Linear Regression,xD_Benzene,0.04326794836249878,0.050062064587083246,0.8684283568890215
Linear Regression,xB_Benzene,0.044186740860273147,0.050821164999504426,0.8060368732401564
Linear Regression,QC_kW,0.016168051974834525,0.020934834226477215,0.9856289096378015
Linear Regression,QR_kW,0.05710936911374989,0.06732793401728386,0.9359372461599036
Random Forest,xD_Benzene,0.03224834984366251,0.04767121572342772,0.8806953856884665
Random Forest,xB_Benzene,0.03458555952907447,0.048358644343420756,0.8243782991132554
Random Forest,QC_kW,0.040087248641330314,0.05059790636157893,0.9160509546885194
Random Forest,QR_kW,0.07435395161297001,0.11342089061147861,0.818196963110027
XGBoost,xD_Benzene,0.030550753619526593,0.042705824693271395,0.9042543588100365
XGBoost,xB_Benzene,0.019440507432971113,0.027131530036610285,0.9447186659067266
XGBoost,QC_kW,0.015377195856672325,0.018480442572888542,0.9888010990688951
XGBoost,QR_kW,0.04603641911063425,0.07650545688328497,0.9172820327505702
ANN,xD_Benzene,0.04561870339496516,0.05955808485787775,0.8137800377195342
ANN,xB_Benzene,0.05914295157464071,0.09053350272108371,0.3844708985817368
ANN,QC_kW,0.045788960316084835,0.05870473746251443,0.8869951799819872
ANN,QR_kW,0.05620785702616311,0.06883236949094194,0.933042309251334
